City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.03,scattered clouds,-9.8,-139.0333,Villa Enata
14,Alyangula,AU,77.92,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
15,Gotsu,JP,79.81,moderate rain,35.0,132.2167,Yurusato
18,Mahibadhoo,MV,79.79,moderate rain,3.7833,72.9667,Omadhoo Inn
22,Georgetown,MY,89.53,haze,5.4112,100.3354,Cititel Penang
27,George Town,MY,89.53,haze,5.4112,100.3354,Cititel Penang
34,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
35,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
37,Kavieng,PG,84.34,light rain,-2.5744,150.7967,Nusa Island Retreat
40,Port Blair,IN,83.95,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
44,Albany,US,76.78,overcast clouds,42.6001,-73.9662,
45,Berdigestyakh,RU,88.02,clear sky,62.0989,126.6992,
47,Puerto Berrio,CO,76.06,moderate rain,6.4916,-74.4033,Hotel Central
53,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
66,Sinnamary,GF,77.41,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
70,Galle,LK,81.86,broken clouds,6.0367,80.217,Amangalla
74,La Asuncion,VE,79.12,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
79,San Patricio,US,84.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
84,Huilong,CN,84.11,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
86,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
89,Meulaboh,ID,83.17,clear sky,4.1363,96.1285,Kost Pria
90,Ust-Maya,RU,89.15,broken clouds,60.4167,134.5333,
91,Korla,CN,83.03,clear sky,41.7597,86.1469,Gulisitan Hotel
94,Vanimo,PG,85.19,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
95,Hasaki,JP,88.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
96,Sabla,NG,77.34,light rain,12.7525,4.7077,
98,Morgan City,US,75.99,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
100,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
102,Butaritari,KI,82.47,clear sky,3.0707,172.7902,Isles Sunset Lodge
103,Finschhafen,PG,83.41,overcast clouds,-6.6024,147.8681,Cossam Guest House
105,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
106,Qazanbulaq,AZ,78.82,clear sky,40.6192,46.6519,Qazanbulaq İsti Su
108,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
109,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
112,Poum,NC,76.15,overcast clouds,-20.2333,164.0167,
114,Hami,CN,89.56,broken clouds,42.8,93.45,Laoyutang Resort
115,Uthal,PK,84.7,moderate rain,25.8072,66.6219,Al-Mustafa Hotel
119,Acarau,BR,78.46,clear sky,-2.8856,-40.12,castelo pizzaria
120,Nioro,GM,79.68,overcast clouds,13.35,-15.75,
121,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
125,Poya,NC,78.21,broken clouds,-21.35,165.15,
132,Balaipungut,ID,88.65,few clouds,1.05,101.2833,
133,Awbari,LY,75.78,clear sky,26.5921,12.7805,فندق أوباري
134,Bengkulu,ID,83.88,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Katsuura,JP,81.57,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
139,Fomboni,KM,76.51,light rain,-12.28,43.7425,Auberge les abou
140,Chifeng,CN,79.16,few clouds,42.2683,118.9636,Junyu Tiancheng Hotel
142,Faanui,PF,76.53,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Alofi,NU,76.91,few clouds,-19.0595,-169.9187,Taloa Heights
150,Tautira,PF,75.56,broken clouds,-17.7333,-149.15,Pension Oaoa
151,Guntakal,IN,77.5,overcast clouds,15.1667,77.3833,Vasavi Pipes Office
156,Nola,IT,83.39,broken clouds,40.922,14.5329,Palazzo Giordano Bruno
157,Sandakan,MY,81.05,light rain,5.8402,118.1179,Hotel Sandakan
159,Labuhan,ID,82.15,broken clouds,-6.8844,112.2051,DoubleFAG
172,Cananea,MX,75.94,broken clouds,30.95,-110.3,Casas Montoya
178,Myitkyina,MM,78.6,light rain,25.3833,97.4,Shwe Phyu Hotel
179,Lakatoro,VU,81.63,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
184,Itaituba,BR,76.6,few clouds,-4.2761,-55.9836,Hotel Campos
187,Bihariganj,IN,89.83,few clouds,25.7333,86.9833,Chandika Sthan Dharmshala
189,Sayville,US,77.29,broken clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
192,Lishui,CN,84.13,overcast clouds,28.4604,119.9103,Bayi Hotel
195,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
196,Teahupoo,PF,75.16,broken clouds,-17.8333,-149.2667,Vanira Lodge
200,Tagusao,PH,81.1,light rain,9.1924,117.8141,Caycay future beach resort
202,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
203,Honggang,CN,78.91,broken clouds,46.4667,124.8667,亚布力滑雪旅游度假区
205,Jiuquan,CN,78.69,overcast clouds,39.7432,98.5174,Jiuquan Hotel
206,Hunucma,MX,83.08,clear sky,21.0167,-89.8667,Casa de Maribel Pamplona Poot
208,Lompoc,US,77.14,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
212,Rincon,US,79.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
213,Seybaplaya,MX,83.66,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
219,Kamaishi,JP,78.46,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
222,Madang,PG,87.69,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
224,Namtsy,RU,89.6,clear sky,62.7161,129.6658,"""Эңсиэли Киин"""
227,San Pedro,PH,84.34,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
229,Porto Empedocle,IT,78.26,clear sky,37.2934,13.5264,Hotel dei Pini
232,Mayo,US,80.55,clear sky,38.8876,-76.5119,Resorts Resource Group International
234,Houma,US,79.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
236,Ambulu,ID,81.52,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
238,Nizwa,OM,83.08,overcast clouds,22.9333,57.5333,Orient Apartments
239,San Gabriel,US,86.65,clear sky,34.0961,-118.1058,Hilton Los Angeles/San Gabriel
240,Tutoia,BR,77.88,clear sky,-2.7619,-42.2744,Pousada Guará's
242,Yairipok,IN,76.77,overcast clouds,24.6667,94.0667,Ningthounai
244,Viesca,MX,89.69,few clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
249,Thinadhoo,MV,77.23,overcast clouds,0.5333,72.9333,
255,Kieta,PG,86.04,clear sky,-6.2167,155.6333,Uruna Bay Retreat
257,Sola,VU,80.26,scattered clouds,-13.8833,167.55,Leumerus Bungalows
259,Biltine,TD,75.69,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
261,Altamira,BR,76.37,broken clouds,-3.2033,-52.2064,Requinte Hotel
266,Hutchinson,US,82.04,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
267,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
268,Kahuta,PK,83.84,scattered clouds,33.5913,73.3868,Marhaba Sweets & Bakers
271,Hobyo,SO,75.47,broken clouds,5.3505,48.5268,Iftin hotel hobyo
273,Sompeta,IN,83.26,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
287,Gizo,SB,84.97,clear sky,-8.103,156.8419,Imagination Island
290,Miramar,US,85.01,clear sky,25.9873,-80.2323,Stadium Hotel
292,Greenville,US,78.96,clear sky,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
297,Nushki,PK,87.39,broken clouds,29.5542,66.0215,Shams hotel
298,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
305,Cabatuan,PH,75.74,moderate rain,10.8794,122.486,MVC Transient Room
309,Tessalit,ML,89.42,overcast clouds,20.1986,1.0114,
311,Bemidji,US,77.56,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
319,Nalut,LY,76.84,clear sky,30.3333,10.85,
322,Arman,RU,75.02,broken clouds,59.7,150.1667,
324,Emilio Carranza,MX,78.96,broken clouds,19.9711,-96.6114,Hotel Carranza Inn
325,Nantucket,US,75.31,fog,41.2835,-70.0995,Jared Coffin House
328,Karratha,AU,75.7,clear sky,-20.7377,116.8463,ibis Styles Karratha
329,Dingle,PH,76.77,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
330,Acajutla,SV,79.72,clear sky,13.5928,-89.8275,Laureles
333,Ahmadpur Sial,PK,88.5,clear sky,30.6754,71.7483,M aqeel dhoobi
334,Camargo,MX,89.83,broken clouds,27.6667,-105.1667,Hotel Santa Fe
340,Isangel,VU,77.63,few clouds,-19.55,169.2667,Tanna Lodge
344,Bacolod,PH,76.87,overcast clouds,10.6667,122.95,Planta Hotel & Residences
346,Sopelana,ES,77.07,clear sky,43.3789,-2.9831,Hotel Modus Vivendi
348,Makakilo City,US,84.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
349,Muscat,OM,87.82,light rain,23.6139,58.5922,Mutrah Hotel
351,Bubaque,GW,80.37,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
356,Dharchula,IN,78.17,broken clouds,29.85,80.5333,Mahara Hotel
357,Sungaipenuh,ID,79.41,scattered clouds,-2.0833,101.3833,Penginapan Citra Alam
358,Visakhapatnam,IN,80.49,mist,17.69,83.2093,Best Western Ramachandra Hotel
360,Shenjiamen,CN,78.69,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
363,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
364,Buraydah,SA,85.03,scattered clouds,26.326,43.975,Mövenpick Qassim
365,Waingapu,ID,83.44,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
366,Papetoai,PF,80.19,few clouds,-17.4961,-149.8729,Fare Vaihere
370,Tanggu,CN,89.56,scattered clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
376,Weligama,LK,82.51,broken clouds,5.9667,80.4167,Weligama Bay Resort
380,Ohara,JP,81.7,overcast clouds,35.25,140.3833,Sakigake
381,Nabire,ID,84.76,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
382,Sibu,MY,88.99,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
383,Kirakira,SB,83.79,scattered clouds,-10.4544,161.9205,SanBiz Lodge
387,Dongsheng,CN,77.59,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
388,Pouebo,NC,77.41,broken clouds,-20.4,164.5667,RIVÂT LODGE
389,Maraa,BR,77.13,overcast clouds,-1.8333,-65.3667,
390,El Cobre,CU,83.64,few clouds,20.0489,-75.9469,Hotel El Cobre
394,Quila,MX,85.86,clear sky,24.4228,-107.22,Madereria Mercado
395,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
396,Todos Santos,MX,88.05,few clouds,23.45,-110.2167,Hotel California Todos Santos
397,Zhangjiakou,CN,82.27,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
399,Ixtapa,MX,77.23,broken clouds,20.7,-105.2,hotel la terminal
405,Rockland,US,77.85,overcast clouds,41.1668,-74.0496,National Camp Association
407,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
408,Riverton,US,81.64,scattered clouds,40.5219,-111.9391,Ramada by Wyndham Draper
416,Novo Aripuana,BR,79.56,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
418,Bilma,NE,85.46,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
423,Alexandria,EG,76.77,clear sky,31.2156,29.9553,Royal Crown Hotel
425,Saint-Georges,GD,79.86,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
428,Warah,PK,87.46,overcast clouds,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
434,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
446,Bandarbeyla,SO,78.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
448,Kupang,ID,82.2,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
452,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
453,Myurego,RU,85.6,clear sky,42.4109,47.693,
454,Balabac,PH,82.96,moderate rain,7.9868,117.0645,Batalla’s Lodging House
455,Zhezkazgan,KZ,78.78,smoke,47.8043,67.7144,Hotel Zumrat
456,Marzuq,YE,77.85,broken clouds,14.4,46.4667,
460,Khorinsk,RU,79.25,clear sky,52.1657,109.7726,Uda
461,Lazaro Cardenas,MX,79.14,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
464,Virginia Beach,US,82.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
465,Lorengau,PG,83.93,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
466,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
467,Pontianak,ID,85.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
470,Sagua La Grande,CU,76.19,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
476,Arys,KZ,89.87,clear sky,42.4252,68.795,Gostinitsa
477,Phulabani,IN,79.57,broken clouds,20.4667,84.2333,Hotel Royal Plaza
482,Tecoanapa,MX,80.76,overcast clouds,16.5167,-98.75,Hotel Manglares
484,Lodhikheda,IN,80.78,overcast clouds,21.5833,78.8333,Ratneshi Sonkusre
485,Aksu,CN,83.05,clear sky,41.1231,80.2644,Pudong Holiday Hotel
486,Fuling,CN,80.91,overcast clouds,29.7022,107.3919,Yingbin Hostel
487,Pemangkat,ID,84.78,overcast clouds,1.1667,108.9667,Ramah Kost KITA
489,Merauke,ID,79.68,broken clouds,-8.4667,140.3333,
493,Coahuayana,MX,77.56,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
501,Banda Aceh,ID,85.01,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
503,Zaysan,KZ,82.51,scattered clouds,47.4667,84.8667,Ерлан үй
504,Ulaanbaatar,MN,80.73,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
506,Itarema,BR,78.1,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
509,Havelock,US,82.35,clear sky,34.8791,-76.9013,Sherwood Motel
512,Yatou,CN,81.75,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
514,Kismayo,SO,75.27,light rain,-0.3582,42.5454,Agan-Hotel
521,Gongzhuling,CN,75.43,overcast clouds,43.5008,124.8198,如家旅馆
522,Ramban,IN,75.61,scattered clouds,33.25,75.25,Naaz Hotel
523,Bima,ID,87.33,broken clouds,-8.4667,118.7167,Lambitu Hotel
530,Wajima,JP,79.48,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
532,Tombouctou,ML,89.4,overcast clouds,20.0,-3.0,
533,Gao,ML,81.57,light rain,16.6362,1.637,
546,Magan,ES,82.92,clear sky,39.9683,-3.931,Hotel Pattaya
550,Namatanai,PG,84.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
553,Tanout,NE,75.78,scattered clouds,14.9709,8.8879,
554,Sorong,ID,82.94,broken clouds,-0.8833,131.25,Waigo Splash Hotel
555,Auki,SB,86.7,clear sky,-8.7676,160.7034,Auki Motel
559,Kavaratti,IN,81.99,overcast clouds,10.5669,72.642,Green leaf
563,Abnub,EG,78.57,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
